Year,Campus Id,Campus Name,District Id,District Name,County Name,Region Number,Charter School,Alt Ed Type,Alt Ed Campus,Alternate Education,Disciplinary Alt Ed Program,Juvenile Justice Alt Ed,Grade Span,School Type,Composite Academic Progress Percentile  (3 Year Avg),Composite Progress Z-Score (3 Year Avg),Composite Academic Progress Quintile  (3 Year Avg),Math Progress Z-Score (3 Year Avg),Math Progress Z-Score,Math Progress Z-Score standard error,Reading Progress Z-Score (3 Year Avg),Reading Progress Z-Score,Reading Progress Z-Score standard error,TEA Accountability Rating,Smart Score,Spending Index,Spending Score,Cost-Adjusted Core Operating Expenditures Per Student (3 Year Avg),Cost-Adjusted Core Operating Expenditures Per Student,Core Operating Expenditures Per Student (not cost adjusted),Core Operating Expenditures (not cost adjusted),Core Payroll Expenditures (not cost adjusted),Campus Cost Deflator,Total Operating Expenditures Per Student (not cost adjusted),Urban County Indicator,ACS Comparable Wage Index,High School Comparable Wage Index,Enrollment,% Economically Disadvantaged,% LEP,% Special Education,% Student Mobility,% Students Early Childhood Education,% Students Pre-Kindergarten,% Students Kindergarten,% Students Grade 1,% Students Grade 2,% Students Grade 3,% Students Grade 4,% Students Grade 5,% Students Grade 6,% Students Grade 7,% Students Grade 8,% Students Grade 9,% Students Grade 10,% Students Grade 11,% Students Grade 12,% Students Bilingual/ESL,% Students Career and Technical,% Students Gifted and Talented,% Students Asian,% Students White,% Students African American,% Students Hispanic,% Students Pacific Islander,% Students American Indian,% Students Two Or More Races,% Students At-Risk,Fiscal Peers Group,Number of Campus Matches,Latitude,Longitude
2018,001906002,NECHES H S,001906,NECHES ISD,ANDERSON,7,N, ,N,N,N,N,09-12,S,13,-0.105,1,-0.16292176,-0.38818106,0.15598187,-0.047967244,0.062147677,0.091917843,Met Standard,2,Average Spending,3,11593.33333,11596,9651,1013406,922597,1.221337741,12259,0,0.812,0.879,105,40,0,14.3,15.1,0,0,0,0,0,0,0,0,0,0,0,21.9,31.4,24.799999,21.9,0,94.300003,6.6999998,1,77.099998,11.4,8.6000004,0,0,1.9,31.4,0,25,31.8749,-95.4758
2018,001906102,NECHES EL,001906,NECHES ISD,ANDERSON,7,N, ,N,N,N,N,PK - 08,E,59,0.071000002,3,0.13543522,-0.026075136,0.13444087,0.00713461,-0.041483928,0.085882321,Met Standard,3,Average Spending,3,7365.666667,7646,6325,1612930,1521428,1.221337741,7078,0,0.812,0.879,255,50.599998,2,7.8000002,12.1,0,6.6999998,7.8000002,13.7,9.3999996,12.9,7.8000002,9.3999996,10.2,11.4,10.6,0,0,0,0,2,22,7.8000002,0,76.099998,7.0999999,14.5,0,0.40000001,2,26.299999,0,40,31.8716,-95.492
2018,001907001,PALESTINE H S,001907,PALESTINE ISD,ANDERSON,7,N, ,N,N,N,N,09-12,S,21,-0.061000001,2,-0.006304761,0.05706726,0.11635876,-0.11614565,-0.085476354,0.069652461,Met Standard,2,High Spending,2,9001.666667,8910,7453,7199815,6359608,1.221337741,9062,0,0.812,0.879,966,57.799999,6.3000002,8.8000002,12.2,0,0,0,0,0,0,0,0,0,0,0,28,27.200001,23,21.799999,6.0999999,99.199997,3.3,1.1,29,27.4,40.200001,0,0.2,2.0999999,67.699997,0,40,31.7382,-95.6046
2018,001907041,PALESTINE J H,001907,PALESTINE ISD,ANDERSON,7,N, ,N,N,N,N,07-08,M,20,-0.066,2,-0.044957791,0.044896703,0.11404364,-0.087777592,0.014420765,0.070021212,Met Standard,2,High Spending,2,8555.333333,8100,6696,3374857,3197720,1.221337741,7195,0,0.812,0.879,504,70.599998,18.299999,11.9,12.5,0,0,0,0,0,0,0,0,0,49.799999,50.200001,0,0,0,0,17.9,41.700001,4,0,26,25.799999,44.400002,0,0,3.8,60.5,0,40,31.7372,-95.6029
2018,001907101,NORTHSIDE PRI,001907,PALESTINE ISD,ANDERSON,7,N, ,N,N,N,N,KG - 01,E,,,,,,,,,,Improvement Required,,High Spending,2,7438,8044,6744,3398727,2961543,1.221337741,6907,0,0.812,0.879,504,68.699997,18.799999,8.5,13.4,0,0,48.799999,51.200001,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0.2,1.6,31,29.200001,33.700001,0.40000001,1,3.2,63.099998,0,40,31.7905,-95.62
2018,001907102,WASHINGTON EARLY CHILDHOOD CENTER,001907,PALESTINE ISD,ANDERSON,7,N, ,N,N,N,N,EE - PK,E,,,,,,,,,,Improvement Required,,High Spending,2,7257.333333,7427,6137,1172259,1112402,1.221337741,6298,0,0.812,0.879,191,99.5,17.799999,8.3999996,0,0.5,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.799999,0,0,0.5,17.299999,40.299999,39.299999,0,0,2.5999999,22.5,0,39,31.7569,-95.6541
2018,001907107,SOUTHSIDE EL,001907,PALESTINE ISD,ANDERSON,7,N, ,N,N,N,N,02-03,E,,,,,,,,,,Improvement Required,,Low Spending,4,6751.333333,7339,6092,2972702,2751326,1.221337741,6291,0,0.812,0.879,488,75.199997,27,7.4000001,13.2,0,0,0,0,46.900002,53.099998,0,0,0,0,0,0,0,0,0,21.700001,0,2.5,0.60000002,25.4,29.700001,40.599998,0,0,3.7,47.099998,0,40,31.7414,-95.6249
2018,001907110,STORY INT,001907,PALESTINE ISD,ANDERSON,7,N, ,N,N,N,N,04-06,E,46,0.030999999,3,0.10177525,0.17167962,0.11326213,-0.038863897,0.02602724,0.068950966,Met Standard,2.5,High Spending,2,6892,6941,5754,4379107,4080282,1.221337741,5934,0,0.812,0.879,761,71.199997,21.6,9.8999996,12.6,0,0,0,0,0,0,33.099998,35,31.9,0,0,0,0,0,0,19.6,0,3.5,0.89999998,27.5,24.299999,42.599998,0.1,0.30000001,4.3000002,61.400002,0,40,31.7754,-95.6114
2018,001908002,WESTWOOD H S,001908,WESTWOOD ISD,ANDERSON,7,N, ,N,N,N,N,09-12,S,25,-0.045000002,2,0.04325914,0.001275661,0.12341365,-0.13278872,-0.09850879,0.073662214,Met Standard,2,High Spending,2,8262,7898,6607,2801373,2472300,1.221337741,7615,0,0.812,0.879,424,45,4.6999998,11.8,17.799999,0,0,0,0,0,0,0,0,0,0,0,29,27.4,21.200001,22.4,4,88,3.5,1.2,50.200001,23.299999,21.5,0,0.2,3.5,48.599998,0,40,31.739,-95.6051
2018,001908041,WESTWOOD J H,001908,WESTWOOD ISD,ANDERSON,7,N, ,N,N,N,N,07-08,M,15,-0.092,1,-0.1006302,0.13506542,0.11838895,-0.083460383,-0.061154742,0.07404761,Met Standard,1,Very High Spending,1,8976.333333,9489,7873,1905240,1767207,1.221337741,8555,0,0.812,0.879,242,54.5,6.1999998,11.2,14.5,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,6.1999998,15.3,3.3,0,52.900002,14.9,26,0,1.2,5,64,0,40,31.7381,-95.6051
2018,001908101,WESTWOOD EL,001908,WESTWOOD ISD,ANDERSON,7,N, ,N,N,N,N,03-06,E,28,-0.030999999,2,-0.014578549,-0.0676715,0.11611171,-0.046778306,-0.10921828,0.072328761,Improvement Required,3,Low Spending,4,6283.666667,6356,5297,2431532,2195185,1.221337741,5838,0,0.812,0.879,459,60.599998,5.1999998,12.4,12.3,0,0,0,0,0,25.9,27.9,20.299999,25.9,0,0,0,0,0,0,5,0,2,0,51.400002,15.9,26.6,0,1.1,5,65.599998,0,40,31.7491,-95.6797
2018,001908102,WESTWOOD PRI,001908,WESTWOOD ISD,ANDERSON,7,N, ,N,N,N,N,EE - 02,E,,,,,,,,,,Improvement Required,,Average Spending,3,6437.333333,6847,5678,2464039,2293978,1.221337741,6210,0,0.812,0.879,434,75.300003,8.5,8.1000004,15.5,0.5,16.799999,25.799999,28.799999,28.1,0,0,0,0,0,0,0,0,0,0,8.3000002,0,0.5,0.2,51.200001,15.4,31.1,0,0.69999999,1.4,38.200001,0,40,31.7324,-95.6842
2018,001909001,SLOCUM H S,001909,SLOCUM ISD,ANDERSON,7,N, ,N,N,N,N,09-12,S,31,-0.023,2,-0.14321247,-0.33718482,0.14904033,0.09754505,0.23561117,0.091175616,Met Standard,1.5,Very High Spending,1,12637,11666,9949,1134147,884660,1.221337741,11447,0,0.812,0.879,114,42.099998,0.89999998,17.5,14.3,0,0,0,0,0,0,0,0,0,0,0,26.299999,27.200001,22.799999,23.700001,0.89999998,97.400002,5.3000002,0.89999998,92.099998,0.89999998,3.5,0,1.8,0.89999998,41.200001,0,26,31.6318,-95.4625
2018,001909101,SLOCUM PK - 8,001909,SLOCUM ISD,ANDERSON,7,N, ,N,N,N,N,PK - 08,E,35,-0.008,2,-0.14795472,-0.18378347,0.1323842,0.13167709,0.10451454,0.084639885,Met Standard,2,High Spending,2,6826.333333,7315,6019,1859971,1809369,1.221337741,6021,0,0.812,0.879,309,51.799999,1.3,10.7,18.5,0,9.3999996,12.6,9.6999998,9.1000004,10,8.1000004,10.7,9.3999996,11,10,0,0,0,0,1.3,13.9,3.9000001,1,87.400002,1.9,6.0999999,0,0,3.5999999,33.700001,0,40,31.6318,-95.4625
2018,002901001,ANDREWS H S,002901,ANDREWS ISD,ANDREWS,18,N, ,N,N,N,N,09-12,S,42,0.014,3,0.061962254,0.13906945,0.11500825,-0.033074148,-0.05731906,0.067298189,Met Standard,3,Average Spending,3,8871.333333,8769,7042,7436532,7070870,1.257961949,9275,0,0.812,0.879,1056,31.799999,6,7.9000001,12.3,0,0,0,0,0,0,0,0,0,0,0,30.6,25.299999,25.299999,18.799999,3.7,84,6.3000002,0.2,30.1,1.1,66.900002,0,0.1,1.6,39.599998,0,40,32.3257,-102.5678
2018,002901002,ANDREWS EDUCATION CENTER,002901,ANDREWS ISD,ANDREWS,18,N,AEC OF CHOICE - DRS,Y,Y,N,N,09-12,S,,,,,,,,-0.20880774,0.100857,Met Alternative Standard,,Very High Spending,1,26668.33333,21403,17259,742150,690704,1.257961949,17259,0,0.812,0.879,43,37.200001,14,2.3,82.900002,0,0,0,0,0,0,0,0,0,0,0,7,18.6,39.5,34.900002,4.6999998,55.799999,0,0,20.9,2.3,74.400002,0,0,2.3,97.699997,1,34,32.3214,-102.5516
2018,002901041,ANDREWS MIDDLE,002901,ANDREWS ISD,ANDREWS,18,N, ,N,N,N,N,06-08,M,26,-0.037999999,2,-0.029998697,0.011415469,0.11271376,-0.046260778,-0.094021328,0.066455103,Met Standard,2,High Spending,2,7430,7204,5757,5319908,5179827,1.257961949,6771,0,0.812,0.879,924,37.700001,10.2,8.8000002,9.6999998,0,0,0,0,0,0,0,0,31.9,34,34.099998,0,0,0,0,7.5,0,8.1000004,0.2,28.200001,0.60000002,68.099998,0,1,1.8,60.5,0,39,32.3237,-102.5512
